name,type,description
server,collection,
id,ID,key
name,String,non-null
description,String,
img,String,
createdAt,String,non-null
updatedAt,String,
service,collection,
id,ID,key
server_id,ID,non-null
repertory_id,ID,non-null
description,String,
price,float,non-null
startTime,String,non-null
lastTime,String,non-null
createdAt,String,non-null
updatedAt,String,
repertory,collection,
id,ID,key
server_id,ID,non-null
service_id,ID,non-null
count,int,non-null
createdAt,String,non-null
updatedAt,String,
user,collection,
id,ID,key
openid,String,
admin,String,
nickname,String,
username,String,
password,String,
telephone,String,
email,String,
createdAt,String,non-null
updatedAt,String,
order,collection,
id,ID,key
user_id,ID,
serverName,String,non-null
serverDescription,String,
servicePrice,float,non-null
serviceDescription,String,
serviceStartTime,String,non-null
serviceLastTime,String,non-null
repertory_id,ID,non-null
orderStatus,String,
remark,String,
contactName,String,non-null
contactTelephone,String,non-null
customerNumber,int,
payCount,String,
payStatus,String,
payTime,String,
createdAt,String,non-null
updatedAt,String,
store,collection,
id,ID,key
name,String,
description,String,
address,String,
alert,String,
slideshow,String,list
createdAt,String,non-null
updatedAt,String,